Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
dd586a1ae04ed2d129d944286ae71f61,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
c0089458dae2c0559162e58eb2661873,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,G047199095,G047199095 sp047199095
9fc4609d84db9e441de7db46d7172ae4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,G047199095,G047199095 sp047199095
d3eab112b21cbea371f808f940fa4b0c,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
aab4d379026eb5e6a7e2b32ec4c715e7,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
34babcf1732962962d2fbbbadf3af637,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis
07b2978940b50886f3866b04b7f982cf,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae
a0ec2668157ffb2374ece8cad58ecc5f,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas paraeruginosa
27be187284317979c93fd2218ee3722e,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus argenteus
21b49156bf40185385c31d7db91a5ad5,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A pacificus
92bcc461c3dbfbeb88759ada02f95a6b,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,Bacillus_A,Bacillus_A pacificus
efe5e4e4ba300f45c88da09e3e9cd3e4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
985d4a0d4d7e7d255af6a92044ae5901,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
51d51e872348c3c5e3b70be7f91c4a32,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
994cb47a2b400e6185743e1765244faf,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
4bec1cb362f10c0518dae936b3032c6f,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
cd1af128eb857acddb168e57245021ec,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
1f1158dbb4126e5a7f04094b61700493,Bacteria,Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii
0ed2d53fd823b2ef922b6f349cade1cd,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria meningitidis
