# Constructed from biom file
#OTU ID	bc1005_bc1056	bc1005_bc1057	bc1005_bc1062	bc1005_bc1075	bc1005_bc1100	bc1007_bc1075	bc1020_bc1059	bc1024_bc1111
b80a1bd6b19379171cafb03a4ddb26a3	1764.0	1719.0	1677.0	1759.0	1562.0	1813.0	1708.0	1625.0
61de72098cbf9f693f09c863d1c5a586	1574.0	1712.0	1557.0	1586.0	1507.0	1688.0	1704.0	1580.0
a0530711bdec8d611872863731f96dde	1284.0	1312.0	1230.0	1297.0	1129.0	1340.0	1329.0	1221.0
bc7d5e82dae59e2e5e8321bb5c5eae4b	748.0	759.0	754.0	753.0	705.0	852.0	762.0	751.0
13bc41e35faa4f40a01de5a972c0c4ac	722.0	822.0	724.0	737.0	708.0	694.0	726.0	679.0
f3cfb383dcfb753cad226072f6665784	616.0	655.0	630.0	685.0	637.0	660.0	655.0	629.0
7dcace79bc8188077e07b0085aa57b7f	536.0	512.0	492.0	507.0	499.0	585.0	580.0	503.0
09a8fa70427aa68f16934c729b826071	362.0	384.0	373.0	340.0	340.0	351.0	393.0	325.0
3b44c0cd22f7eeac2386b9f2d475930a	346.0	389.0	330.0	364.0	324.0	335.0	372.0	350.0
0bf3e0641c88ec588bc66b567c3fa63d	376.0	414.0	320.0	364.0	318.0	312.0	359.0	338.0
dd586a1ae04ed2d129d944286ae71f61	354.0	336.0	343.0	356.0	311.0	389.0	344.0	326.0
c0089458dae2c0559162e58eb2661873	352.0	366.0	338.0	347.0	337.0	358.0	356.0	290.0
9fc4609d84db9e441de7db46d7172ae4	369.0	382.0	354.0	344.0	335.0	314.0	342.0	301.0
d3eab112b21cbea371f808f940fa4b0c	318.0	314.0	304.0	323.0	359.0	341.0	303.0	315.0
aab4d379026eb5e6a7e2b32ec4c715e7	311.0	315.0	309.0	329.0	276.0	352.0	319.0	301.0
34babcf1732962962d2fbbbadf3af637	310.0	320.0	315.0	286.0	265.0	343.0	281.0	277.0
07b2978940b50886f3866b04b7f982cf	262.0	235.0	229.0	276.0	227.0	241.0	258.0	235.0
a0ec2668157ffb2374ece8cad58ecc5f	115.0	122.0	90.0	94.0	109.0	148.0	128.0	111.0
27be187284317979c93fd2218ee3722e	47.0	58.0	55.0	44.0	36.0	41.0	46.0	38.0
21b49156bf40185385c31d7db91a5ad5	40.0	39.0	47.0	46.0	46.0	50.0	47.0	43.0
