sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
bc1005_bc1056	13581	11458	84.37	11368	11368	83.71
bc1005_bc1057	13937	11782	84.54	11702	11700	83.95
bc1005_bc1062	12959	11083	85.52	11016	11014	84.99
bc1005_bc1075	13555	11478	84.68	11404	11404	84.13
bc1005_bc1100	12414	10591	85.31	10513	10509	84.65
bc1007_bc1075	13976	11795	84.39	11725	11725	83.89
bc1020_bc1059	13619	11589	85.09	11526	11526	84.63
bc1024_bc1111	12789	10842	84.78	10768	10766	84.18
