date,count,uniques
2026-06-05,0,0
2026-06-06,0,0
2026-06-07,0,0
2026-06-08,0,0
2026-06-09,0,0
2026-06-10,0,0
2026-06-11,0,0
2026-06-12,0,0
2026-06-13,0,0
2026-06-14,0,0
2026-06-15,0,0
2026-06-16,0,0
2026-06-17,0,0
2026-06-18,31,3
2026-06-19,23,3
2026-06-20,0,0
2026-06-21,0,0
2026-06-22,6,3
2026-06-23,0,0
2026-06-24,57,14
2026-06-25,14,6
2026-06-26,2,1
2026-06-27,0,0
2026-06-28,0,0
2026-06-29,34,3
2026-06-30,0,0
2026-07-01,20,2
2026-07-02,18,4
2026-07-03,13,3
2026-07-04,0,0
2026-07-05,2,1
2026-07-06,2,2
2026-07-07,1,1
2026-07-08,8,1
2026-07-09,1,1
2026-07-10,0,0
2026-07-11,0,0
2026-07-12,2,1
2026-07-13,0,0
2026-07-14,0,0
2026-07-15,5,1
2026-07-16,0,0
2026-07-17,8,1
2026-07-18,0,0
2026-07-19,0,0
2026-07-20,2,1
2026-07-21,0,0
2026-07-22,0,0
2026-07-23,7,3
2026-07-24,1,1
2026-07-25,0,0
2026-07-26,0,0
